Society,Year,Type_of_Society,Time_Type,Military_Status,Population,Overall_War_Group_Size_W,X_(W),LNP,LNW,W.P,X (W),
Niger,2014,State,Contemporary,0,19268000,10700,0.687823698,16.77395625,9.27799902,0.0006,0.687823698,0.710067363
Nigeria,2014,State,Contemporary,0,183523000,162000,0.749158565,19.02785056,11.99535161,0.0009,0.749158565,0.73348115
Panama,2014,State,Contemporary,0,3764166,12000,0.76957659,15.14103688,9.392661929,0.0032,0.76957659,0.802466882
Papua New Guinea,2014,State,Contemporary,0,7398500,3100,0.651123547,15.81678783,8.03915739,0.0004,0.651123547,0.696204006
Poland,2014,State,Contemporary,0,38484000,192700,0.826097527,17.46575313,12.16888985,0.005,0.826097527,0.828234569
Qatar,2014,State,Contemporary,0,2344557,11800,0.793270531,14.66760703,9.37585481,0.005,0.793270531,0.828530943
Republic of Macedonia,2014,State,Contemporary,0,2065769,12850,0.806039071,14.54101311,9.46109909,0.0062,0.806039071,0.840908501
Republic of the Congo,2014,State,Contemporary,0,4671000,12000,0.758759898,15.35688374,9.392661929,0.0026,0.758759898,0.790433325
Rwanda,2014,State,Contemporary,0,10996891,35000,0.784711793,16.21312315,10.46310334,0.0032,0.784711793,0.802374499
Senegal,2014,State,Contemporary,0,13508715,18620,0.736441371,16.41884559,9.831991551,0.0014,0.736441371,0.75672282
Seychelles,2014,State,Contemporary,0,89949,650,0.765889314,11.40699812,6.476972363,0.0072,0.765889314,0.849777909
Sierra Leone,2014,State,Contemporary,0,6319000,10500,0.735589982,15.65907153,9.259130536,0.0017,0.735589982,0.766688777
Slovakia,2014,State,Contemporary,0,5421349,22610,0.792324769,15.50585524,10.02614757,0.0042,0.792324769,0.817701458
Slovenia,2014,State,Contemporary,0,2067463,8800,0.779958947,14.54183281,9.082507,0.0043,0.779958947,0.81886892
South Africa,2014,State,Contemporary,0,54002000,89535,0.76732771,17.80453164,11.40238489,0.0017,0.76732771,0.766570413
Spain,2014,State,Contemporary,0,46439864,220490,0.824935225,17.65366879,12.30360762,0.0047,0.824935225,0.825156083
Suriname,2014,State,Contemporary,0,534189,1840,0.741330914,13.18850499,7.517520851,0.0034,0.741330914,0.806825935
Sweden,2014,State,Contemporary,0,9784445,51765,0.814720868,16.09630444,10.85446952,0.0053,0.814720868,0.831431063
Tajikistan,2014,State,Contemporary,0,8354000,16300,0.75029851,15.93825102,9.698920387,0.002,0.75029851,0.775357092
Tanzania,2014,State,Contemporary,0,48829000,108400,0.782491986,17.70383496,11.59358337,0.0022,0.782491986,0.782394601
Timor L'este,2014,State,Contemporary,0,1212107,1332,0.674903605,14.00787073,7.194436851,0.0011,0.674903605,0.744815452
Togo,2014,State,Contemporary,0,7171000,9300,0.722007861,15.78555567,9.137769679,0.0013,0.722007861,0.753502098
Trinidad and Tobago,2014,State,Contemporary,0,1328019,4063,0.74963142,14.09919892,8.309676896,0.0031,0.74963142,0.800158866
Tunisia,2014,State,Contemporary,0,10982754,47800,0.803999368,16.21183678,10.77478092,0.0044,0.803999368,0.820146451
Turkmenistan,2014,State,Contemporary,0,4751120,22000,0.797346839,15.37389094,9.998797732,0.0046,0.797346839,0.823711469
Uganda,2014,State,Contemporary,0,34856813,46800,0.749314478,17.36675917,10.75363848,0.0013,0.749314478,0.755332769
